420,680,540,560,762.2
310,570,430,450,666.99
430,530,470,490,293.41
40,720,360,400,1050.1
40,400,200,240,880.72
320,500,400,420,273.22
470,530,490,510,248.79
310,530,410,430,391.48
320,660,480,500,553.9
320,420,360,380,212.06
350,490,410,430,253.5
320,680,480,520,546.6
290,350,310,330,116.16
40,100,60,80,322.88
290,420,350,360,270.92
100,320,200,220,660.11
430,490,450,470,198.94
310,490,390,410,302.33
290,430,350,370,317.1
320,470,390,400,277.37
40,320,160,200,747.16
290,470,370,390,335.11
