Asingh model 1
10
1
345
1
0
370	10      73.38389 
220	12      85.21201 
420	20      91.60687 
680	8       91.43423 
630	10      88.0476  
445	1       84.71458 
445	3       79.35571 
730	2       98.50963 
470	10      87.56847 
370	22      88.71069 
545	1       97.96522 
545	3       97.13007 
570	10      83.88597 
310	10      97.67109 
210	14      87.6413  
300	2       94.49687 
90	2       101.67404
400	2       42.61838 
460	20      80.93255 
360	24      75.60912 
190	2       103.8622 
190	6       103.8801 
500	2       106.32859
500	4       80.61738 
290	2       94.77692 
400	20      88.56689 
290	6       74.97387 
0
0
0
0
0
0
0

0
